MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
688848,750,KWT L,Kuwait League,K,72,Kuwait,K,8006,Yarmouk,6662,Al Qadsia SC,+1.25,3.0,9.5,+0.5,1.25,4.5,0,2,2,4,2,2,0,0,57,91,29,63,1,9,3,6,0,0,FT,1
686117,32,SAU PL,Saudi Arabia Premier League,S,36,Saudi Arabia,S,8010,Al Feiha,866,Al Ittifaq Dammam,0.0,2.25,8.5,0.0,0.75,4,1,1,6,5,1,0,0,0,74,78,46,57,6,3,5,6,40,60,79,0
688698,625,MEX U20,Mexico U20 League,M,49,Mexico,M,9506,Cruz Azul U20,7429,Leon U20,-1.0,2.75,9.5,-0.25,1.0,4.5,1,0,6,9,0,0,0,0,49,48,30,29,4,2,2,7,48,52,79,1
688699,625,MEX U20,Mexico U20 League,M,49,Mexico,M,10070,Monarcas Morelia U20,36549,FC Juarez U20,-1.5,3.25,,-0.5,1.25,,0,0,6,4,1,3,0,0,72,63,52,25,2,1,3,1,0,0,73,0
688897,704,ARG R,Argentina Reserve League,A,32,Argentina,A,16033,Sportivo Italiano Reserves,33451,Berazategui Reserves,+0.25,2.5,9,+0.25,1.0,4.5,0,0,3,4,0,1,0,0,90,80,57,54,5,0,5,2,0,0,72,0
688899,776,GRC Cup,Greece Cup,G,13,Greece,X,17169,Aiolikos,8161,Lamia,+0.25,2.5,,+0.25,1.0,,0,2,0,0,2,2,0,0,81,73,47,40,1,4,2,5,45,55,61,1
688613,1232,NOR Y Cup,Norway Youth Cup,N,70,Norway,N,5930,Viking FK U19,4579,Rosenborg U19,+1.25,4.25,10.5,+0.5,1.75,5,1,2,3,4,1,2,0,0,46,71,15,35,3,6,3,2,30,70,52,1
688844,22,TUR Cup,Turkey Cup,T,26,Turkey,T,27033,Gazisehir Gaziantep FK,8809,Turgutluspor,-2.5,3.5,9.5,-1.0,1.5,4.5,1,0,4,2,1,2,0,0,61,42,60,30,5,1,9,2,62,38,48,1
688886,1727,IVO CLC,Ivory Coast League Cup,I,152,Ivory Coast,K,23990,Williamsville Athletic Club,11251,Africa Sports,-0.25,2.0,,-0.25,0.75,,0,0,2,1,0,0,0,0,54,45,23,26,2,0,2,0,65,35,HT,0
688896,704,ARG R,Argentina Reserve League,A,32,Argentina,A,1453,Atletico Fenix Reserves,19803,CA San Telmo Reserves,+0.5,2.75,9.5,+0.25,1.25,4.5,0,0,0,3,0,0,0,0,37,59,15,36,2,1,0,6,0,0,36,1
688761,721,HRV H2,Croatia 2.HNL,C,98,Croatia,K,6954,NK Medimurje Cakovec,7666,NK Dugopolje,-0.25,2.25,8.5,0.0,0.75,4,0,2,1,3,0,1,0,0,42,43,24,22,1,2,3,3,54,46,36,1
689106,2313,BGR BPFG,Bulgaria B PFG,B,40,Bulgaria,B,15094,Pirin Blagoevgrad,11959,Lokomotiv G. Oryahovitsa,-0.25,3.0,,-0.25,1.25,,0,3,0,1,0,0,0,0,44,35,37,23,0,4,1,0,0,0,33,1
688737,753,ESP TG10,Spain Tercera Group 10,S,23,Spain,X,7991,Sevilla C,33043,AD Cueta,-0.25,2.5,,-0.25,1.0,,0,0,0,2,0,0,0,0,24,27,15,16,1,0,0,1,46,54,33,1
689121,900,RWA NL,Rwanda National League,R,166,Rwanda,L,34290,Gasogi Utd,9986,SC Kiyovu,0.0,2.0,8,0.0,0.75,3.5,0,0,1,1,0,0,0,0,45,43,25,23,2,1,4,2,0,0,32,1
688072,330,ROM Cup,Romania Cup,R,30,Romania,L,12177,Sepsi,2122,Astra Giurgiu,-0.25,2.0,9,0.0,0.75,4,1,1,0,0,0,0,0,0,23,20,17,9,2,1,3,1,55,45,21,1
688493,1622,SUD L,Sudan League,S,161,Sudan,S,20484,Khartoum Al Watani,27538,Hay Al Wadi SC,-0.75,2.25,,+0.25,0.5,,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,14,1
688797,30,QAT SL,Qatar Stars League,Q,34,Qatar,K,1213,Al-Sailiya SC,528,Al-Rayyan SC,+0.5,3.0,9.5,+0.25,1.25,4.5,0,1,0,0,0,0,0,0,6,6,6,3,0,2,0,0,61,39,11,1
686873,548,POL Cup,Poland Cup,P,20,Poland,B,1587,Stomil Olsztyn,1589,Wisla Plock,0.0,2.75,9.5,0.0,1.0,4.5,0,0,0,0,0,0,0,0,5,9,0,3,0,1,0,0,27,73,6,1
685152,562,RUS Cup,Russia Cup,R,12,Russia,E,1273,Torpedo Moscow,1256,Baltika Kaliningrad,-0.25,2.0,9.5,0.0,0.75,4.5,0,0,1,0,0,0,0,0,12,2,11,0,0,0,1,0,64,36,6,1
686128,710,DNK Cup,Denmark Cup,D,15,Denmark,D,5646,FC Copenhagen,1192,FC Nordsjaelland,-0.75,3.25,10,-0.25,1.25,4.5,0,1,0,0,0,0,0,0,7,9,2,3,0,1,0,1,49,51,5,1
688173,1795,BGR FL,Bulgaria First League,B,40,Bulgaria,B,6366,Levski Sofia,26478,Dunav Ruse,-2.25,2.75,,-1.0,1.0,,0,0,0,0,0,0,0,0,11,6,3,1,0,0,0,0,74,26,5,1
685151,562,RUS Cup,Russia Cup,R,12,Russia,E,242,Spartak Moscow,5423,Rostov,-0.75,2.25,9,-0.25,0.75,4.5,0,0,1,0,0,0,0,0,7,2,9,1,2,0,0,0,74,26,4,1
